ad_name,Targeting,Spend,BAR,ROAS,CTR,CVR
Whiteboard_V2_HeresHowMuchYouShouldPay__VID_LearnMore_ Total,,"$14,929.27",11%,1.15,1.05%,2.30%
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Appts,"$3,535.95",33%,0.64,1.05%,1.28%
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Lead+Book Appt,"$1,773.01",17%,1.02,0.63%,2.04%
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Lead+Iss.Appt,$188.03,0%,0.80,0.74%,1.47%
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Leads,"$3,051.22",6%,1.77,1.48%,2.94%
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Purchase Value,"$5,722.28",9%,1.23,1.49%,2.38%
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,Purchases,$96.55,0%,0.00,1.07%,0.00%
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_ Total,,"$14,367.04",12%,1.16,1.17%,2.18%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV1,Leads,"$13,073.63",25%,1.11,0.93%,1.90%
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV1 Total,,"$13,073.63",25%,1.11,0.93%,1.90%
Clicky_StateBrand_Cost_IMG_LearnMore_,Appts,"$4,946.29",28%,0.97,0.76%,1.95%
Clicky_StateBrand_Cost_IMG_LearnMore_,Lead+Book Appt,$524.04,0%,1.14,0.83%,1.30%
Clicky_StateBrand_Cost_IMG_LearnMore_,Lead+Iss.Appt,$70.47,0%,2.13,0.96%,1.82%
Clicky_StateBrand_Cost_IMG_LearnMore_,Leads,"$2,014.34",29%,1.27,0.95%,2.15%
Clicky_StateBrand_Cost_IMG_LearnMore_,Purchase Value,"$4,516.15",8%,1.76,0.91%,4.03%
Clicky_StateBrand_Cost_IMG_LearnMore_,Purchases,$728.63,31%,2.68,1.57%,5.08%
Clicky_StateBrand_Cost_IMG_LearnMore_ Total,,"$12,799.92",18%,1.41,0.87%,2.75%
BeautyShot_V5_BNPLEvergreenOffer__IMG_LearnMore_,Appts,$237.18,0%,1.26,0.68%,2.25%
BeautyShot_V5_BNPLEvergreenOffer__IMG_LearnMore_,Leads,"$11,245.72",18%,1.07,0.45%,5.17%
BeautyShot_V5_BNPLEvergreenOffer__IMG_LearnMore_ Total,,"$11,482.90",17%,1.07,0.46%,5.02%
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_,Appts,"$2,729.64",38%,0.44,0.71%,0.64%
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_,Lead+Book Appt,$281.23,0%,0.00,0.41%,0.00%
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_,Lead+Iss.Appt,"$6,595.37",13%,0.89,0.37%,2.35%
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_,Leads,$141.07,100%,1.06,0.67%,2.56%
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_,Purchase Value,$360.58,0%,1.66,0.47%,7.41%
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_,Purchases,$525.99,20%,2.85,1.06%,6.76%
