Concepts,ad_name,SUM of spend,SUM of matched_leads,SUM of booked_appts,SUM of hs_rev,BAR,ROAS,# of Adsets,URL
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerSmallV2,703.91,2,0,143.69,0%,0.2,10,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/527749840_1897637847759819_5030801453615876264_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c02adf&_nc_ohc=JsRzIskQnaoQ7kNvwHHLsZ4&_nc_oc=AdnHGP80RnNtQgYV0IJ4x1GusELaQ8kvxiiTH0xof0vPo63WQ7QV5XgYEuGAvTIipdTw6Rtg8GSB5jvyelJrSWlm&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=tlZ5tTkRAy_01kPJKfK0xw&oh=00_AfYpRjmBqpaqPgS6MIFWSX9OiML-NjHt7tHLIMGGQ0gucA&oe=68DCE2D1
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Affordability,3145.22,9,5,1007.31,56%,0.32,10,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/528450638_1464909447847235_6617311047821997406_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c02adf&_nc_ohc=291_oa6h_gEQ7kNvwE6Ycma&_nc_oc=AdlH5F6lv3rQqP9Oyk0gKtqPq5eiPXGjdJ7dJqgHvlk1uSOGz46LlWAkVCbykdiZ-XE&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=bHdGZVfYUAGU52OWl9GmGA&oh=00_AfZzSKD7Y7inHq2LOEGTW0IjtsGTfUr4RwISJDHgng9XoQ&oe=68E09ED3
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:OneDay,681.03,3,2,355.2,67%,0.52,8,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528332123_1963776487754229_2774812860398287701_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c02adf&_nc_ohc=eWb6tHKwtfcQ7kNvwEgbChf&_nc_oc=Adk-Yjbs1ZGd9XFykdWrozUAthUuEdwKyO7744WbXYaW4Ukah1IuwSD2Mu91W1sUrIrVP7yKd-MbDGfsXH4h5OoI&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=6auDsSpRzY1l5GM7LK8mfQ&oh=00_Afb_atJ79OHlcMTDP82aqM7G9TNFVw5uJt4-jcPTtLo8Vg&oe=68E2F3B5
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Upgrade,2023.27,8,1,1028.4,13%,0.51,9,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/528871468_612732968242218_8074728513390258845_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c02adf&_nc_ohc=HyHPksvo7agQ7kNvwHvestV&_nc_oc=Adn1KKLazCuhfngpXa8S_b5zXyO4Lc5mEw1Cf0fYC2lqcICn5Chav2XdZHPvfUyNctoVz_Pto-tDdkI3nmzL531q&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=3XWrkwxpURDJT0ARXrZABg&oh=00_AfbfdAkuPcNeNf6N1kIk2IsW58W9ovIr0c9g2-J1KIdV7Q&oe=68DCBD8E
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:OneDay,1305.35,5,1,561.25,20%,0.43,11,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/527864358_2204311126708971_7469436449182143231_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c02adf&_nc_ohc=ZOqLslCcg4UQ7kNvwFqffVY&_nc_oc=AdkbRfb3U2H0dm9w7-m0vXayUunV4Us3S7s2r9sMOzASK85F0ATk2GtTiqCvwGArUCs&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=3ooXej7czGZ5D4CDdKzj1Q&oh=00_AfYsFh4VuaPH574BS3UZAtX8aNa6_SiPswSXnoqiwa_W9g&oe=68E08C75
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:RemodelCostV2,15594.49,183,27,16213.07,15%,1.04,11,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/528388414_1280340447116106_1751283651891296306_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c02adf&_nc_ohc=fW-Ghzs1Z6sQ7kNvwE69erA&_nc_oc=Adkk404QJjaxw2bnUcdDxAKfVw_sW5N8xgdgVpe9Nk8hRQOLMzyQ8xCVx_chMIiNSBc&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=V7bUN6MhKlL_G_aBFF1YfA&oh=00_AfYpCf7Ly_7ZBZAOXWeI0TfxU3X4DltZNpjCLqpPlYrgGg&oe=68E0A7EB
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Shower,942.61,4,0,494.52,0%,0.52,11,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/529219145_692589090478952_7852948240838633511_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c02adf&_nc_ohc=fTutZ4RfiNcQ7kNvwEAy53o&_nc_oc=Adl9tebyzzavBIEEmWtyA9BnYU_9cCbB25aGEzeUNQuTEu2BSaVY80YT9quFB6zBSCBmDUViMZYMXiiwwVvrW8DV&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=xs2wTJItAASZ90hXQFiGuQ&oh=00_AfZBHZ_H_VJ5Bu4JyCV18IDxQMsYc6HYo-ZSKI_UUZCOKg&oe=68DCBD9D
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:ShowerCost,66358.77,1010,115,96249.4,11%,1.45,10,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/528823968_730529349604778_2029276002562275859_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c02adf&_nc_ohc=iTJ7ZSrESzEQ7kNvwFSOpBc&_nc_oc=Admsuc8g0Kqj0BhaIBJkuEM4y43MXI7QRJqOMAOenB_13-DHtI_-QinYMoeRKmxIn3E&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=VA7kgNvZqV0rnSSfAiHXEQ&oh=00_AfY_2yqfd5Hu7duh_D6q9d0--tgA7oIiQkLu5EswqFe6ww&oe=68E088BC
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Upgrade,989.01,3,1,365.8,33%,0.37,11,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/528674867_1137979371478670_160385410385575858_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c02adf&_nc_ohc=_2T16eQAwKMQ7kNvwHjZ6mK&_nc_oc=Adnma2ZpubAvhAm7t98G--17p99v1Z-5F2O5gH123zukQwqh-_qDAlr6HFMv1zmBSClF5ROqbB60MGLp2ZZRQEak&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=VvFqcAVKPDP1pjo7wBocGA&oh=00_AfatKKIa6oSL3ZAfxFS81nICBABUAXHzZVtbVVn5o0UKjQ&oe=68DCEB8E
Grid Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1,586.64,0,0,3.85,0%,0.01,1,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/557624287_1444423746671351_9071239366414944437_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c02adf&_nc_ohc=HBUzs3FCvJsQ7kNvwFZLiJe&_nc_oc=AdkmfWOG1GZiotnI9uwQpHoAwY-fjpfLZ9Z6vJBN7yLlTOKuPyAZvKuUX96R2grlstgY9WRiIzzZR-b8fS5ihy1E&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=OHaOv2fmMlPy2Mu6SLlr0w&oh=00_AfYDCif4zD9cbFDhd-cPkKywgtDh6KwJo-lFc_TCvrIkoQ&oe=68E2F79C
