ad_name,creative_url,ad_id,,,Has Traits?
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerSmallV2,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/527749840_1897637847759819_5030801453615876264_n.png?stp=dst-jpg_tt6&_nc_cat=104&ccb=1-7&_nc_sid=890911&_nc_ohc=En5yzfFVyYsQ7kNvwFdqda3&_nc_oc=AdnlLyECM8KXOZTwPQOZHpd5s4-g_Cdp9h2Q0yOOCD7QxRynT1SotB4qTK8NNT_N_Y4&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfdyBqGz1-2u2h0EcpAoMftI_Amc33nXpc0thkZb4H8XUw&oe=68ED2551,120231642778790408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerSmallV2
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Affordability,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528450638_1464909447847235_6617311047821997406_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=3-TRF-5pk-AQ7kNvwFTlnKV&_nc_oc=AdlNftng1ROpPdGGN8Y7idJ_1JFdC42SIBmDN47u9gkc9llsl3R6sO9qLkPJww_PQAM&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=hHGzIgNbkOfMiydr5_CC2Q&oh=00_AffAjUUfly90VpDT_Tc91HQbS0nt58FAkrh8xwKrU5ARcA&oe=68ED2513,120231642778890408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Affordability
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:OneDay,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/528332123_1963776487754229_2774812860398287701_n.png?stp=dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=890911&_nc_ohc=rYhHR96LzLIQ7kNvwE7xP2N&_nc_oc=AdnqoGKhp5HVGbAILmPtNTgJbKeEYHrw41AVY8bhl4YHzatyWWYlbuiuFLrjlUaJ0vo&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfdeYhie0Rl7KsC3K8vhnF3FYxrGIYu953qUhteF8nh-vA&oe=68ED4775,120231642779050408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:OneDay
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Upgrade,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/528871468_612732968242218_8074728513390258845_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=nKxdrc1dkhEQ7kNvwHeRzbM&_nc_oc=AdlfnCMxRn15ervGjvQngQQNvhcD9sd3QgGzinrTeqUCmUCciRJO9tR9F_Z_OgHpxHY&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_Afd_-kNxQlDo_C49Goe1zsPtskyXzWhuK8Ojr8PdrjL23w&oe=68ED384E,120231642779230408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:Upgrade
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:OneDay,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/527864358_2204311126708971_7469436449182143231_n.png?stp=dst-jpg_tt6&_nc_cat=108&ccb=1-7&_nc_sid=890911&_nc_ohc=zQsSvNd4RQMQ7kNvwETwIJF&_nc_oc=AdmH4YAL7AgCQbcXNl_qWTYdQi4BBr6_OumbeUB7cY6_0CrLE9YAANG6hfxMqtDt4Tc&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfcDU0zU9Sexa9NVMnO_4Y6Sk6fxC-QleiLZdIBlsBaQgA&oe=68ED4AF5,120231642778940408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:OneDay
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:RemodelCostV2,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/528388414_1280340447116106_1751283651891296306_n.png?stp=dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=890911&_nc_ohc=K1KYYjh8oykQ7kNvwH8oI4G&_nc_oc=Adk8nvi1P97_h1tpdjuwbbEL1D_Fj0Pgco8vZcLMl--gZjSdw-KaBJow2Uo2TFXyjKg&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfeQmb1-MEZuikwck1qzPKZpGhygfZ8pVgUSpTDWEQb52g&oe=68ED2E2B,120231642778860408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:RemodelCostV2
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Shower,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/529219145_692589090478952_7852948240838633511_n.png?stp=dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=890911&_nc_ohc=StYvYHFo4vMQ7kNvwEaJa-Y&_nc_oc=Admr_OgoYWmfEkPIKQRnteTWxQImo59DuRAXXFsOc7IkmZY4pUUIoi2JvX3o9VdYNbg&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hHGzIgNbkOfMiydr5_CC2Q&oh=00_AfeXSFn-rlFA6_MR5nfaeQupdAq7MNH9QIgR2TZAwmpXNQ&oe=68ED385D,120231642779090408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Shower
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:ShowerCost,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528823968_730529349604778_2029276002562275859_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=scEon491KtQQ7kNvwGAM3Rv&_nc_oc=AdlZRdtpBlSTvIv6dAvrDFM6KvlR7DPoqyDbbqn3QAzbiYb_pPgPD6_vgL7Yykr-fZA&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_Affh83oeQqGrLWua0nbWzs597U-qLUBvOutco25hAOM1wg&oe=68ED473C,120231642779060408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:ShowerCost
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Upgrade,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/528674867_1137979371478670_160385410385575858_n.png?stp=dst-jpg_tt6&_nc_cat=106&ccb=1-7&_nc_sid=890911&_nc_ohc=vG4olEWlo0kQ7kNvwHxA4y8&_nc_oc=AdkvzQ1pydECwmtda3UxbO51qzImovd4rTuPnw4lMWnqUvWSdqxNOsTkbRSQIe9g5YQ&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=j8xnjszwl890Ri0pIbuRTw&oh=00_AfedfpfhHuTAI5HlqUnMDqLem7pespg3So8-r3WuUfzp2g&oe=68ED2E0E,120231642779100408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Upgrade
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/550815877_1553647395801779_2896539280966632037_n.png?stp=dst-jpg_tt6&_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=aLw_cujbNCUQ7kNvwHStNNa&_nc_oc=AdkJnv52wa-XKwx2k0Q0wX5om5Uu8fcYxo4DcO5XkcL9O5pNqpsrZ9uOY5bmk9SEfgs&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fwHM9Qd0Rk6plxX0tLmr_A&oh=00_AfbT7p21zlwZ_2shuSNbmON-8eGue2a-sxaNQD1K_m57UA&oe=68D8ECC9,120231277740740408,,,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1
