ad_name,Targeting,Spend,BAR,ROAS,CTR,CVR
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:NetworxLux|f:Journey7 Total,,"1,180.10",33%,0.69,1.57%,7.25%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:90s - Copy,Lead,"1,084.32",25%,0.44,2.81%,5.81%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:90s - Copy Total,,"1,084.32",25%,0.44,2.81%,5.81%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Shower1,Lead,"1,008.34",0%,0.35,3.30%,1.74%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Shower1 Total,,"1,008.34",0%,0.35,3.30%,1.74%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextImage|f:Testimonial2,Lead,990.49,0%,0.34,5.02%,4.26%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:TextImage|f:Testimonial2 Total,,990.49,0%,0.34,5.02%,4.26%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Upgrade,Book Appt,242.00,0%,0.51,2.51%,2.80%
,Lead,734.75,100%,0.33,2.86%,5.26%
,Lead+Book Appt,12.26,0%,0.00,0.00%,0.00%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Upgrade Total,,989.01,33%,0.37,2.61%,3.96%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Shower,Book Appt,169.87,0%,0.00,2.16%,0.00%
,Lead,635.17,0%,0.78,3.14%,13.04%
,Lead+Book Appt,137.57,0%,0.00,1.78%,0.00%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyState|f:Shower Total,,942.61,0%,0.52,2.55%,7.58%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:#Showers,Book Appt,201.94,0%,1.32,1.75%,8.33%
,Lead,716.62,0%,0.31,2.47%,8.74%
,Lead+Book Appt,2.92,0%,0.00,5.56%,0.00%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:#Showers Total,,921.48,0%,0.53,2.16%,8.48%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:FloorplanShowerLargeV2,Book Appt,116.72,0%,0.55,2.54%,2.56%
,Lead,667.08,17%,0.97,1.98%,14.29%
,Lead+Book Appt,30.61,0%,3.19,2.46%,16.67%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:FloorplanShowerLargeV2 Total,,814.41,14%,0.99,2.09%,11.80%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V1,Lead,782.43,0%,0.16,1.89%,8.00%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V1 Total,,782.43,0%,0.16,1.89%,8.00%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerSmallV2,Book Appt,123.75,0%,0.00,3.21%,0.00%
,Lead,512.99,0%,0.17,1.50%,3.37%
,Lead+Book Appt,67.17,0%,0.80,1.53%,11.11%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerSmallV2 Total,,703.91,0%,0.20,1.76%,2.94%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:OneDay,Book Appt,122.32,0%,2.09,1.93%,14.81%
,Lead,570.08,0%,0.12,1.66%,8.96%
,Lead+Book Appt,10.73,0%,0.00,1.27%,0.00%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:SneakySven|f:OneDay Total,,703.13,0%,0.46,1.72%,10.42%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:OneDay,Book Appt,59.23,0%,0.00,1.83%,0.00%
,Lead,620.85,67%,0.57,1.74%,10.31%
,Lead+Book Appt,0.95,0%,0.00,0.00%,0.00%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickySchedule|f:OneDay Total,,681.03,67%,0.52,1.76%,7.75%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1,Lead,586.64,0%,0.01,4.14%,0.32%
d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:GridSelector|f:Bathroom1 Total,,586.64,0%,0.01,4.14%,0.32%
