assetname,MediaType,Image URL,Video URL,Type,assetid,headline,description,CTA,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
gutters_v2,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/df25dca3520ffcb797a0533c1e61d4b3.jpeg,,,4179429974,The Surprising Cost of a New Gutter System in 2025,,,"534,244",564,1,$61,$547,1
gutters_v4,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/df25dca3520ffcb797a0533c1e61d4b3.jpeg,,,4179430004,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"1,105,124","1,864",1,$61,"$1,119",0
gutters_v5,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/df25dca3520ffcb797a0533c1e61d4b3.jpeg,,,4179430065,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"588,617",666,0,$1,$612,0
windows_v3,Image,https://cdn.taboola.com/libtrc/static/thumbnails/42b7d10c31045d8a1662c96d8e681497.jpg,,STATIC_IMAGE,4178992969,Here's What Windows Should Cost You in 2025,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"315,532","1,384",0,$0,$428,0
windows_v2,Image,https://cdn.taboola.com/libtrc/static/thumbnails/a1d499629efa32fa5d7138efea9f0817.jpg,,STATIC_IMAGE,4178992968,Here's What Windows Should Cost You in 2025,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"219,753","1,044",1,$50,$310,0
windows_v1,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4178992967,Here's What Windows Should Cost You in 2025,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"302,730","1,550",0,$0,$472,0
windows_v7,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4178992973,Here's Why These New Windows Are Trending in ${city:capitalized}$,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"295,059","1,445",0,$0,$500,0
windows_v9,Image,https://cdn.taboola.com/libtrc/static/thumbnails/42b7d10c31045d8a1662c96d8e681497.jpg,,STATIC_IMAGE,4178992975,Here's Why These New Windows Are Trending in ${city:capitalized}$,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"853,743","2,394",3,$100,$712,1
gutters_v37,Image,https://cdn.taboola.com/libtrc/static/thumbnails/0fa6652e8e68327f810892b0d8b4c92a.jpg,,STATIC_IMAGE,4184294323,The Surprising Cost of a New Gutter System in 2025,"How Much Does A New Gutter System Cost? Find Out with a Free, No-Obligation Estimate.",LEARN_MORE,"117,795",487,1,$60,$498,0
windows_v10,Image,https://cdn.taboola.com/libtrc/static/thumbnails/88c21ce7bef31ad5ed60452634d3af69.jpg,,STATIC_IMAGE,4184304813,Here's What Windows Should Cost You in 2025,Upgrade your home with windows that save on energy bills and reduce noise. Get a free estimate today.,LEARN_MORE,"359,986",551,2,$100,"$1,319",0
